Question,Answer
"Добрый день! Скажите, пожалуйста, когда буду сессии в 2017 году. Я поступила на экономику на коммерческой основе. На работе делают уже график на 2017 год и с меня спрашивают.","Здравствуйте! По поводу сессии и её сроков узнавайте, пожалуйста, у методистов заочной формы обучения факультета экономики и финансов по тел. 8(8332) 208-346"
"Здравствуйте! У меня сессия будет до 29 октября. Это суббота, по субботам Вы работаете? Или можно будет мне билет домой брать на 28 вечером?","Добрый день! По субботам также идут пары, но лучше выяснить данную информацию в деканате своего факультета 208-346"
"Добрый день, можно узнать номер группы? Факультет экономики и финансов банковское дело заочно.","Добрый день! Сейчас Вы уже студент и по всем вопросам нужно обращаться в деканат своего факультета 208-346."
"Здравствуйте, у меня такой вопрос😊я в этом году поступила заочно на правоохранительную деятельность, ускоренное обучение, к сожалению у нас с 21 октября сессия установочная, но мне надо в Москву уезжать , на работу позвали. Я позвонила в деканат , мне сказали прийти на кафедру и получить задания . Что мне делать и куда обратиться , не сможете помочь ??)","Здравствуйте! Теперь Вы студентка, поэтому все вопросы решаете через деканат. Если там Вам посоветовали обратиться на кафедру - значит нужно звонить и приходить на кафедру. Адреса и телефоны кафедр юридического института имеются на нашем сайте здесь https://www.vyatsu.ru/studentu-1/nauka-i-praktika/yuridicheskiy.html"
"Подскажите пожалуйста,я за учебу заплатила через онлайн,чек каждый месяц надо приносить показывать или отправлять по электронке .","Добрый день! Да, скан чека нужно отправлять каждый месяц"
"На какую Эл.почту. в памятке написано у меня туда не отправляется. Может лучше придти и показать,что оплачено., ","Скан первого платежа отправьте на этот адрес приёмной комиссии  prcom@vyatsu.ru Сканы следующих платежей Вы отправляете уже Вашему факультету (эл. адрес можно будет спросить у методиста по заочной форме обучения во время установочной сессии)."
"Первый платеж я приносила и показывала,а второй платеж вчера уже отправила на Эл.почту которая была указана в договоре.","Тогда всё в порядке."
"Подскажите когда начнется сессия госуд.и муниципальное управление ускорен.","По поводу начала сессии и других вопросов, связанных с процессом обучения, Вы можете обратиться к методистам заочной формы обучения факультета менеджмента и сервиса по тел. 8(8332) 208-346"
"Здравствуйте, как можно узнать группу и когда начинается первая сессия на заочном отделении ,первый курс , государственное и муниципальное управление?, Здравствуйте.Подскажите когда начинается установочная сессия и по какому адресу - Государственное и муниципальное управление.Заочно.","Здравствуйте! По поводу сессии Вы можете обращаться к методистам заочной формы Вашего факультета по тел. 8(8332) 208-346"
"Добрый вечер Мне нужно сдать экзамены на заочное платное Возможность приехать есть только 15 августа Я успею сдать их до 20 августа? Просто не могу найти информации в какие дни сдаются экзамены, русский математика физика","Здравствуйте! Вы можете подъехать в любой день. С понедельника по пятницу тестирование сдаётся в 10.00 и в 14.00, в субботу - с 10.00. Лучше приезжать пораньше, чтобы успеть оформить все необходимые документы (подать заявление с документами, получить экз.лист и т.д.). Приёмная комиссия работает с 9.00. Вы можете сдать все тесты за 1 день, а можете распределить их, как Вам удобно."
"Огромное спасибо), А еще вопрос,когда будут известны результаты тестирования?","В принципе, в этот же день., Вы сможете за 1 день сдать все тесты, узнать результат и при условии успешного прохождения тестирования сразу заключить договор на платное обучение."
"Спасибо), Добрый день) Мне дали квитанцию на оплату обучения,я ее оплатил,мне надо именно от сканировать и отправить,или можно просто сфотографировать? И куда именно нужно отправить?","Здравствуйте! Можно отправить фото, но хорошего качества. Обязательно укажите ФИО, форму обучения и направление подготовки, куда поступаете. Адрес эл. почты: prcom@vyatsu.ru"
"Здравствуйте) Подскажите пожалуйста,где узнать в какую группу я зачислен и расписание на установочную сессию у заочников?","Здравствуйте! Если Вы зачислены, то теперь все вопросы решаете в деканате Вашего факультета) Телефоны факультетов https://www.vyatsu.ru/studentu-1/nauka-i-praktika.html"
"где будут учиться заочники юридического факультета, где будут учиться юристы-заочники","Студенты юридического института, в основном, будут учиться на Красноармейской, 26"
"когда проходит установочная сессия в 1 или 2 смену","Это Вам можно узнать в деканате юридического института. Тел. 8(8332) 742-760, 742-761 или 742-770"
"когда у юристов заочников начнется установочная сессия","Сроки сессии устанавливаются учебно-методическим отделом. Справка вызов на сессию придёт к Вам за 2 недели до сессии (ориентировочные сроки - октябрь)."
"какие дисциплины будут изучать студенты-юристы 1 курса заочного отделения","Данные вопросы нужно задавать не приёмной комиссии, а факультету, где Вы будете обучаться, так как именно у факультета имеются учебные планы. Телефон 8(8332) 742-770"
"сложно ли учиться юристам-заочникам","Всё зависит от Вас)"
"когда юристы-заочники получат студенческий билет","Добрый день! На установочной сессии."
"когда станет известно № группы заочников-юристов","с этим вопросом лучше обратиться в деканат по телефону: 74-27-70"
"график учебного процесса юристов-заочников 1 курса","В деканате."
"примерно какого числа на почту пришлют справку-вызов для юристов-заочников 1 курса","За пару недель до установочной сессии."
"когда закончится набор на заочную форму обучения","20 сентября"
"когда опубликуют окончательный состав группы заочников-юристов","В конце сентября группы будут сформированы"
"во сколько будут проходить установочная сессия у юристов заочников","Раз теперь Вы студент, то все вопросы адресуете в деканат Вашего факультета."
"говорили что справку-вызов отправят за 2 недели до сессии","Да. За 10-14 дней до сессии"
"сессия 21 сентября а справки до сих пор нет","Звоните в деканат."
"какой телефон","74-27-70"
"а во сколько можно звонить, а почему так поздно объявили начало сессии для заочников, говорили сессия будет в начале октября, можно узнать отправили ли справку-вызов по почте","Звоните в деканат 8(8332)74-27-70. Вероятнее всего, они работают с 9 до 17."
"когда будет расписание юристов-заочников","Интересуйтесь в деканате. Также можете написать в группу Юридического института. Вот ссылка: https://vk.com/uf_vyatsu"
"во сколько приходить 21 сентября юристам-заочникам а то расписания до сих пор нет, будет ли сегодня собрание для первокурсников юристов заочников, что значит 2-209, будет ли в пятницу организационное собрание","2-209 - это 209 кабинет 2-го корпуса, Про собрание уточняйте в деканате., Адрес 2-го корпуса - Московская, 39 (на Театральной площади)"
"Подскажите, пожалуйста, когда будут дни открытых дверей?2016-2017г.","Здравствуйте! Ближайший планируется провести 2 октября с 11.00. Информация будет выложена на сайте и в этой группе."
"Здравствуйте, извините за беспокойство. Я поступила к вам в университет на специальное дефектологическое образование заочно, магистратура. Проблема в том, что я не знаю, когда у меня начинается сессия. По телефонам постоянно отправляют на другие телефоны. Дозвонилась до деканата, они сказали смотрите на сайте расписание, и бросили трубку! Я зашла на сайт, НО, информация о расписании просто недоступна. Она не открывается. Мне хотелось бы узнать свое расписание. Не могли бы вы мне помочь?","Здравствуйте! Так как Вы уже зачислены, то все вопросы решаются через деканат факультета - 8 (8332) 742-579, 742-584 (деканат). Расписание, действительно, нужно смотреть на сайте. Оно появится несколько позднее. Пока что в деканате Вам могут сказать только примерные сроки сессии. За 10-14 дней до установочной сессии Вам придёт справка-вызов, где будут указаны сроки. Эту справку Вы сможете предоставить по месту работы."
"Будут ли ещё пополняется списки,  а то я себя до сих пор не могу найти?","Зачисление проходит каждую неделю до 1 октября"
"Где их можно посмотреть?","Приказ будет размещён на сайте."
"Где этот приказ на сайте можно увидеть?)","https://www.vyatsu.ru/abiturientu/univers/dni-otkryityih-dverey-1/spiski-zachislennyih-v-vyatgu-v-2016-godu.html"
"Там нет пополнений","Приказ опубликуют позднее. Уточнить сроки можно по тел. 8(8332) 742-982"
"Здравствуйте, когда начнётся сессия на дистанционном обучении по профелю 'управление проектами и программами в образовании'?, И почему то меня нет в списке поступивших?","Здравствуйте! По данным вопросам Вы можете обратиться в приёмную комиссию дистанционной формы по тел.  8 (8332) 74-29-90"
"Здравствуйте. Поступаю на заочное отделение биотехнологии на платной основе по ЕГЭ 2012 года. Хочу отправить оригиналы документов по почте (живу в Сыктывкаре). Документ об образовании - отправить аттестат об окончании школы(2012 года) или диплом СПО (2016года) ? Я уже заполнила заявление в электронной форме на вашем сайте и вписала туда аттестат. Не знаю верно ли это","Здравствуйте! Лучше, конечно, вписать диплом СПО, чтобы Вам потом сделали перезачёт некоторых учебных дисциплин. Уточните теперь порядок Ваших действий в приёмной комиссии заочной формы обучения по тел.: 8(8332) 742-982 или 8(8332) 742-983"
"Здравствуйте. Я отправила документы почтой. Они в списке принятых. Мне сказали просить форму договора об оплате., И на сколько частей можно разделить оплату?","Здравствуйте! Вам необходимо связаться с приёмной комиссией по поводу заключения договора. Можете сперва связаться с нашим представительством в Сыктывкаре по тел. 8(8212)21-03-95, чтобы уточнить, оформляют ли они договоры на заочную форму. Если нет, то нужно будет подъехать в Киров и оформить договор. Плату можно делить на 2 части и на 10 частей."
"Здравствуйте. Мне нужно знать даты сессии, просят на работа, чтобы график составить. На кафедре биотехнологии я ее найти не могу. Можете мне примерные сроки сказать.","Добрый день! Ориентировочные сроки сессии по направлению подготовки 'Биотехнология' с 14.11.2016 по 19.11.2016"
"Спасибо. А чек об оплате обязательно отправлять на эл.почту?","Можно и здесь"
"","Доброго дня! При печати на данной фотографии почти ничего не видно. Огромная просьба: отправьте фото в лучшем качестве или, лучше всего, скан."
"Здравствуйте,я поступила на дистанционное обучение,прошла тестирование,позвонили сказали что прошла,когда нужно оплачивать?и в списках зачисленных меня нет","Здравствуйте! Вопросы по дистанционному обучению Вы можете задать по тел. 8(8332) 64-03-82, 35-03-65"
"Скажите, я поступила на менеджмент, он входит в часть менеджмент и сервис?, Как понять в какой ты группе чтобы смотреть расписание пар?","Нужно спросить в деканате факультета https://www.vyatsu.ru/studentu-1/nauka-i-praktika.html, Направление 'Менеджмент' относится к факультету менеджмента и сервиса"
"Здравствуйте, я тут смотрю у ребят уже согласие на зачисление заявление есть, я поступаю на экономическую безопасность, нужно писать это заявление? и можно его почтой?","Здравствуйте! Согласие можно написать до 1 августа (когда Вы привезёте оригинал аттестата) на то направление, на которое Вы проходите по баллам и где точно решили учиться (согласно вашему заявлению). Чтобы узнать подробнее о том, когда его написать и как, лучше позвонить в приёмную комиссию факультета экономики и финансов по тел. 8(8332) 742-988"
"оригинал на месте у вас","Замечательно. Тогда, вероятнее всего, факультет сможет выслать согласие на Вашу эл.почту. Можете прямо сейчас им позвонить и проконсультироваться."
"спасибо больше), вы мне дали номер факультета химии, мне нужна экономика","Вы внимательно набирали номер? Наверное, Вы набрали 8(8332) 742-989, а Вам нужно 8(8332) 742-988"
"на сайте сейчас смотрела там 833 274-29-79, а звонила по тому, который дали вы, 89 набрала, да, извините)","Ничего страшного. По номеру 74-29-79 Вы тоже можете звонить. Это другой факультет, но их приёмные комиссии в одном помещении, так что передадут трубочку."
"спасибочки), Здравствуйте) можно еще спросить, у меня 170 баллов на эбс и поэтому там сделали так , что сначала на заочку и как выйдет приказ, то сразу же на очное обучение перевод сделают и мне сказали приехать после 23 и взять реквизиты вроде и договор забрать об очке и оплатить учебу и мне тут же сказали, что приезжайте 24 мы спросили можно ли 26 и сказали , что по этому поводу ничего не знают , и я хочу спросить можно ли 26","Здравствуйте! В принципе, можете и 26-го подъехать."
"спасибо большое), Здравствуйте, у меня такой вопрос, я учебу оплатила и договор получается заключила на очную форму и мне сказали все теперь 1 сентября как обычно, носейчас пришло смс с тем , что мне необходимо 1 числа и моему родителю подписать еще документы по поводу перевода, если мама не может","Здравствуйте! В таком случае подходите одна. Мама сможет подписать договор позднее."
"мы ведь уже подписывали что то и оплатили","Всё верно. Но нужно ещё заполнить другой договор, так как Вы переводитесь с одной формы обучения на другую, поэтому Вас и приглашают завтра подойти в приёмную комиссию (каб. 108а)."
"здравствуйте, могу я узнать почему меня до сих пор нет в списке зачисленных на очной форме обучения( бакалавр) ... заявление о переводе денег с заочной на очное подписала","Добрый день! Приказа на зачисление на очную форму обучения и не должно быть. Вы зачислены как 'заочник', но так как Вы переделали договор на очную форму обучения, то Вас переведут на очную форму автоматически."
"Здравствуйте. Если я буду учиться на платном очном юр. ф-та, полагается ли мне стипендия и вообще в каких случаях она полагается?","Здравствуйте! На местах с оплатой стоимости обучения стипендия не выплачивается. Она выплачивается только тем, кто учится на бюджетном месте. Причём, учится без троек."
"Здравствуйте. Скажите, пожалуйста, я заключила договор, но еще его не забрала. 31 числа можно забрать в том же корпусе ВятГУ на Московской 36 или же уже в деканате в своем корпусе? (Юр.фак.)","В приемной комиссии, кабинет 110а"
"сколько нужно фотографий для заселения? при поступлении отдавала 6 шт","Для заселения нужно 4 фото."
"где взять справку на то что я являюсь студентом для соц. стипендии?","В отделе координации работы со студентами по адресу ул. Карла Маркса, 77, каб. 109. Тел. 8(8332) 64-46-63"
"если у меня только 3 фото, можно ли 4ю сделать на месте?т.к. нет возможности сделать еще одну, и еду уже в пн 29.08","В университете фотографии не делают, но рядом с главным корпусом есть фотостудия."
"Здравствуйте, скажите пожалуйста, как будет сокращенно называться моя группа если я поступил на управление персоналом организации заочно?  где можно узнать расписание?","Добрый день! С этими вопросами лучше обратиться в деканат своего факультета по телефону: 20-89-17"
"Здравствуйте! У меня такая проблема, что я заключил договор на заочное платное обучение по направлению экономику, первый взнос в 14500 я заплатил, чек в Кирово-Чепецкую приемную комиссию принес, мне сказали ждать вызова на сессию. 22 авгуса вывесили списки поступивших, себя я не увидел, позвонил в приёмную комиссию, у меня спросили фамлию и сказали, что еще зачисление будет 26 августа. Вчера я посмотрел списки, но меня снова там не оказалось, что делать? Так же мне звонили на сотовый, я позже перезвонил, сказал, что 'Мне звонили, что хотели?', на что ответили 'Никому мы не звонили'. Сегодня я узнал, что это был номер офиса по приему документов Кирово-Чепецка.","Добрый день! Обратитесь, пожалуйста, с этим вопросом в приемную комиссию заочного отделения по телефону 74-29-82, последнее зачисление 31 августа."
"Здравствуйте! Где будут обучаться по специальности Педагогическое образование биология и химия (Институт Биологии и Биотехнологии)?","Добрый день! С этим вопросом лучше обратиться в деканат своего факультета, но скорее всего большинство занятий будет проходить в 1 корпусе ВятГУ."
"Добрый день! Я подавала документы и оформила договор на заочную форму обучения, платно, но еще не заплатила. Могу ли я забрать документы и расторгнуть договор? И работает ли еще приемная комиссия, чтобы это осуществить?","Добрый день! Да,конечно, завтра последний день,когда Вы сможете сделать это в приемной комиссии. Если Вы сможете подойти только после 30 августа, то с этим вопросом уже нужно будет обращаться в Ваш деканат."
"Добрый день.куда мне надо позвонить чтобы узнать когда начнётся сессия?заочное отделение. Дошкольное образование","Здравствуйте! В деканат факультета 8(8332) 742-579"
"Здравствуйте!мне вчера позвонили, сообщили,что сын на заочку прошёл и надо договор подписать.И что сегодня,25.08.,последний день и завтра приказы будут о зачислении.я в шоке Я то на Ямале, Как быть?","Здравствуйте! Вероятно, Ваш сын переводом поступает с заочной формы на очную, поэтому Вас и торопят. Срочно позвоните в приёмную комиссию факультета, куда он поступает и расскажите об этой ситуации. Тех. секретари что-нибудь посоветуют. Контакты факультетов можно найти здесь https://www.vyatsu.ru/abiturientu/univers/dni-otkryityih-dverey-1/kontaktyi-otborochnyih-priemnyih-komissiy.html  На всякий случай вот ещё телефон ответственного секретаря приёмной комиссии 8(8332) 742-995"
"Здравствуйте. Подскажите телефон приемной комиссии (экономическая безопасность).","Здравствуйте! 8(8332) 742-988"
"Добрый день! Сколько срок обучения на педагогическом направлении (история, обществознание) очно?","Добрый день! 5 лет."
"Спасибо, Здравствуйте, подскажите, пожалуйста, надо ли кому то сообщать об отказе на место в общежитии? Я в нем не нуждаюсь","Здравствуйте! Если писали заявление на общежитие и теперь хотите отказаться, то позвоните, пожалуйста, в Управление комплексом общежитий по тел. 8(8332) 53-09-46"
"Здравствуйте, На факультете 36 бюджетных мест, по рейтингам я 37ая.... Прошла первая волна, стала 8ой, а мест осталось всего семь Есть ли вероятнрсть, что кто-то предплчтет другой факультет или после зачисления списки не меняются? Как мне узнать, если вдруг кто-то откажется от этого направления?","Здравствуйте! Вероятность такая есть - кто-то может отозвать своё согласие на зачисление и перейти на другое направление. Это может произойти по 6 августа (до 18.00). Если у Вас на данном направлении уже лежит согласие и оригинал аттестата находится в вузе, то Вам нужно отслеживать конкурсную ситуацию на сайте и при необходимости связываться с факультетом. Если же у Вас больше шансов пройти на другое направление, то это тоже нужно отслеживать на сайте и при необходимости переписывать согласие на зачисление."
"А кто-то из уже зачисленных может отозвать заявление? Как я узнаю об этом, ведь их в списках уже нет?","Да, они могут отказаться от зачисления. Списки будут обновляться. Плюс можно связаться с факультетом завтра-послезавтра, чтобы быть в курсе актуальной ситуации по приёму."
"Спасибо большое, буду надеяться","Удачи Вам и успеха!🌸"
"😌, здравствуйте, скажите, пожалуйста, по какому адресу нужно отправлять скан квитанции об оплате обучения? не смогла найти на сайте","Здравствуйте! По этому адресу prcom@vyatsu.ru Обязательно указывайте ФИО, форму и направление обучения, куда поступаете."
"Добрый день. Подскажите, в каком корпусе будут учиться те, кто поступил на Управление персоналом?","Здравствуйте! В основном, они будут учиться на Ленина, 111 (там же, где расположен деканат). Но, возможно, что некоторые занятия могут поставить и в соседних корпусах."
"Здравствуйте, а когда можно будет написать согласие на поступление?(экономика)","Здравствуйте! Если поступаете на очную форму, то по 1 августа (для первой волны зачисления) или по 6 августа (для второй волны)."
"Сегодня можно будет подъехать и написать, да?","Да, можно, если Вы уже точно определились с направлением подготовки."
"Хорошо, а до скольки?","До 17 часов"
"Хорошо, спасибо большое!","Пожалуйста)"
"Здравствуйте! На какой адрес эл.почты высылать фотографии об оплате обучения?","Здравствуйте! Вот на этот prcom@vyatsu.ru Обязательно указывайте ФИО, форму обучения и направление подготовки, куда поступаете"
"А если я отправила уже Указала только фамилию и имя Ещё раз прислать?","Нет, не отправляйте. Всё уже нашли)"
"здравствуйте,подавала заявление на пищевую биотехнологию заочно,вчера позвонили сказали что биотехнология группа не набралась,только 2 заявления.группы не будет именно по пищевой или вообще?","Здравствуйте! Это лучше уточнить в приёмной комиссии заочной формы обучения по тел. 8(8332) 742-982 или 742-983. Они владеют информацией по набору учебных групп."
"Здравствуйте,скажите пожалуйста,какие документы необходимы для поступления на специальность 44.03.05 Педагогическое образование (с двумя профилями подготовки). Русский язык, литература?","Добрый день! Необходимые документы: документ об образовании, паспорт, медицинская справка формы 086-У, 4 фотографии 3*4см (желательно матовые)."
"Здравствуйте,скажите пожалуйста, кроме необходимых документов для поступления на специальность 44.03.05 Педагогическое образование (с двумя профилями подготовки). Русский язык, литература, нужны какие нибудь заявления для поступления ?","Заявление на поступление Вы будете заполнять в приемной комиссии."
"Т.е. я могу по почте отправить копии документов? А подлинники подвезти когда будут результаты зачисления?","Вы можете зарегистрироваться в Личном кабинете абитуриента на нашем официальном сайте. Там же прикрепить все сканы документов. Подробнее о том, как заполнять заявление в Личном кабинете, Вы можете почитать здесь https://www.vyatsu.ru/abiturientu/univers/dni-otkryityih-dverey-1/poryadok-podachi-dokumentov-po-pochte-i-v-elektron.html Оригинал аттестата Вам необходимо будет привезти до 1 августа, если Вы потенциально будете проходить на бюджет. О Ваших шансах на поступление на бюджетное место Вам будет сообщать приёмная комиссия факультета, куда Вы подадите заявление."
"Здравствуйте,скажите пожалуйста, я поступаю на бюджет по заочной форме обучения,в списках я 11 из 11 бюджетных мест(специальность 44.03.05 Педагогическое образование (с двумя профилями подготовки). Русский язык, литература) есть ли у меня шанс поступить.если документы принимаются до 2 августа?и будет ли зачисление вторым потоком по этой специальности?просто есть сомнения по-поводу подвозить ли оригиналы😊","Здравствуйте! Шансы у Вас есть. Внимательно отслеживайте свою рейтинговую позицию на сайте. Также связывайтесь с приёмной комиссией заочной формы обучения, чтобы ничего не упустить. Оригинал документа об образовании Вы можете привезти по 10 августа, так что ещё есть время сориентироваться., Зачисление будет происходить в 1 поток - 11 августа"
"а второй поток зачисление по этой специальности будет?","Зачисление будет происходить в 1 поток - 11 августа, После будет только зачисление на платные места, Примерно в конце августа"
"скажите,а оригиналы документа можно поднести по этому адресу г. Сыктывкар, Сысольское шоссе, д.64? или нужно только в Кирове в приемную комиссию?","Сперва необходимо позвонить в наше представительство в г. Сыктывкар по тел. 8(8212) 21-03-95. Если они примут у Вас оригинал, то можно не ездить в г. Киров, если нет - тогда придётся подъехать)"
"поняла,спасибо), Здравствуйте,скажите пожалуйста,я вот поступила на заочное отделение по специальности Педагогическое образование:Русский язык и литература, по какому номеру можно обратиться с интересующими меня вопросами?","Добрый день! Если вопросы связаны с процессом обучения, то обратиться нужно в деканат по телефону 20-89-66, либо 20-89-67"
"Здравствуйте, когда будут опубликованы списки поступивших.","Здравствуйте! Зачисление на бакалавриат и специалитет: на очную форму (бюджет) - 3 и 8 августа, очную форму, внебюджет - 22 и 31 августа, заочную форму, бюджет - 11 августа, заочную форму, внебюджет - в конце августа. Списки появятся на сайте."
"спасибо, Где в Кирове можно найти квартиру для девушки студентки по разумной цене? Кирова не знаем, учиться будем по ул Ленина 111","Здравствуйте! Можете связаться с профкомом студентов. У них есть база недорогого жилья 8(8332) 64-02-76, Извините, не тот номер, 8(8332) 64-02-86 - верный номер"
"Добрый день. Подскажите дальнейшие действия после написания вступительных экзаменов в магистратуру (заочное). На бюджет не прошли. Ожидать списки на платное? или необходимо подойти заключить договор?","Здравствуйте! Для зачисления Вам нужно заключить договор и внести первый взнос., Так что подходите в приёмную комиссию с паспортом для заключения договора. Также принесите оригинал диплома, если он ещё не в приёмной комиссии."
"Сколько процентов первый взнос?","Либо 50% - если не оформляли рассрочку. Если заполнили заявление на рассрочку, то 10%"
"А уже поздно оформить расрочку?","Нет, не поздно. Подойдите в приёмную комиссию и напишите заявление"
"подскажите пожалуйста еще условия рассрочки?","Условие рассрочки - это наличие Вашего заявления на рассрочку"
"я имела в виду по сколько ежемесячный платеж или по квартально. Факультет экономики и финансов. Подходить также в корпус на театральной площади?","Рассрочка на 10 частей, поэтому ежемесячный платёж составляет 10% процентов."
"Большое спасибо за ответы 😊","Да, подходите на Московскую, 36, каб. 116"
"Здравствуйте, хотела узнать, обязательно ли присутствие родителя на заключение 'согласия на зачисление', если я поступаю на платную основу по очной форме обучения?","Здравствуйте! Присутствие родителя нужно, так как Вы сразу будете заключать договор на платное обучение."
"А можно привести с собой только паспорт родителя, если, например, мама не может со мной поехать в Киров?, *Привезти","По данному вопросу свяжитесь с приёмной комиссией факультета, куда поступаете. Телефоны можно посмотреть здесь https://www.vyatsu.ru/abiturientu/univers/dni-otkryityih-dverey-1/kontaktyi-otborochnyih-priemnyih-komissiy.html"
